PP,Blok,Condition,timestamp,avgDepth(avg),leftShoulderAngle(avg),rightShoulderAngle(avg),leanAngle(avg),HipCenter_Spine-Spine_ShoulderCenter(avg),Spine_ShoulderCenter-ShoulderCenter_Head(avg),Spine_ShoulderCenter-ShoulderCenter_ShoulderLeft(avg),Spine_ShoulderCenter-ShoulderCenter_ShoulderRight(avg),ShoulderCenter_ShoulderLeft-ShoulderLeft_ElbowLeft(avg),ShoulderLeft_ElbowLeft-ElbowLeft_WristLeft(avg),ElbowLeft_WristLeft-WristLeft_HandLeft(avg),ShoulderCenter_ShoulderRight-ShoulderRight_ElbowRight(avg),ShoulderRight_ElbowRight-ElbowRight_WristRight(avg),ElbowRight_WristRight-WristRight_HandRight(avg),HipCenter_Spine-PlaneZXAxisX(avg),HipCenter_Spine-PlaneXYAxisY(avg),HipCenter_Spine-PlaneYZAxisZ(avg),Spine_ShoulderCenter-PlaneZXAxisX(avg),Spine_ShoulderCenter-PlaneXYAxisY(avg),Spine_ShoulderCenter-PlaneYZAxisZ(avg),ShoulderCenter_Head-PlaneZXAxisX(avg),ShoulderCenter_Head-PlaneXYAxisY(avg),ShoulderCenter_Head-PlaneYZAxisZ(avg),ShoulderCenter_ShoulderLeft-PlaneZXAxisX(avg),ShoulderCenter_ShoulderLeft-PlaneXYAxisY(avg),ShoulderCenter_ShoulderLeft-PlaneYZAxisZ(avg),ShoulderCenter_ShoulderRight-PlaneZXAxisX(avg),ShoulderCenter_ShoulderRight-PlaneXYAxisY(avg),ShoulderCenter_ShoulderRight-PlaneYZAxisZ(avg),ShoulderLeft_ElbowLeft-PlaneZXAxisX(avg),ShoulderLeft_ElbowLeft-PlaneXYAxisY(avg),ShoulderLeft_ElbowLeft-PlaneYZAxisZ(avg),ElbowLeft_WristLeft-PlaneZXAxisX(avg),ElbowLeft_WristLeft-PlaneXYAxisY(avg),ElbowLeft_WristLeft-PlaneYZAxisZ(avg),WristLeft_HandLeft-PlaneZXAxisX(avg),WristLeft_HandLeft-PlaneXYAxisY(avg),WristLeft_HandLeft-PlaneYZAxisZ(avg),ShoulderRight_ElbowRight-PlaneZXAxisX(avg),ShoulderRight_ElbowRight-PlaneXYAxisY(avg),ShoulderRight_ElbowRight-PlaneYZAxisZ(avg),ElbowRight_WristRight-PlaneZXAxisX(avg),ElbowRight_WristRight-PlaneXYAxisY(avg),ElbowRight_WristRight-PlaneYZAxisZ(avg),WristRight_HandRight-PlaneZXAxisX(avg),WristRight_HandRight-PlaneXYAxisY(avg),WristRight_HandRight-KinectZAxis(avg),avgDepth(stdv),leftShoulderAngle(stdv),rightShoulderAngle(stdv),leanAngle(stdv),HipCenter_Spine-Spine_ShoulderCenter(stdv),Spine_ShoulderCenter-ShoulderCenter_Head(stdv),Spine_ShoulderCenter-ShoulderCenter_ShoulderLeft(stdv),Spine_ShoulderCenter-ShoulderCenter_ShoulderRight(stdv),ShoulderCenter_ShoulderLeft-ShoulderLeft_ElbowLeft(stdv),ShoulderLeft_ElbowLeft-ElbowLeft_WristLeft(stdv),ElbowLeft_WristLeft-WristLeft_HandLeft(stdv),ShoulderCenter_ShoulderRight-ShoulderRight_ElbowRight(stdv),ShoulderRight_ElbowRight-ElbowRight_WristRight(stdv),ElbowRight_WristRight-WristRight_HandRight(stdv),HipCenter_Spine-PlaneZXAxisX(stdv),HipCenter_Spine-PlaneXYAxisY(stdv),HipCenter_Spine-PlaneYZAxisZ(stdv),Spine_ShoulderCenter-PlaneZXAxisX(stdv),Spine_ShoulderCenter-PlaneXYAxisY(stdv),Spine_ShoulderCenter-PlaneYZAxisZ(stdv),ShoulderCenter_Head-PlaneZXAxisX(stdv),ShoulderCenter_Head-PlaneXYAxisY(stdv),ShoulderCenter_Head-PlaneYZAxisZ(stdv),ShoulderCenter_ShoulderLeft-PlaneZXAxisX(stdv),ShoulderCenter_ShoulderLeft-PlaneXYAxisY(stdv),ShoulderCenter_ShoulderLeft-PlaneYZAxisZ(stdv),ShoulderCenter_ShoulderRight-PlaneZXAxisX(stdv),ShoulderCenter_ShoulderRight-PlaneXYAxisY(stdv),ShoulderCenter_ShoulderRight-PlaneYZAxisZ(stdv),ShoulderLeft_ElbowLeft-PlaneZXAxisX(stdv),ShoulderLeft_ElbowLeft-PlaneXYAxisY(stdv),ShoulderLeft_ElbowLeft-PlaneYZAxisZ(stdv),ElbowLeft_WristLeft-PlaneZXAxisX(stdv),ElbowLeft_WristLeft-PlaneXYAxisY(stdv),ElbowLeft_WristLeft-PlaneYZAxisZ(stdv),WristLeft_HandLeft-PlaneZXAxisX(stdv),WristLeft_HandLeft-PlaneXYAxisY(stdv),WristLeft_HandLeft-PlaneYZAxisZ(stdv),ShoulderRight_ElbowRight-PlaneZXAxisX(stdv),ShoulderRight_ElbowRight-PlaneXYAxisY(stdv),ShoulderRight_ElbowRight-PlaneYZAxisZ(stdv),ElbowRight_WristRight-PlaneZXAxisX(stdv),ElbowRight_WristRight-PlaneXYAxisY(stdv),ElbowRight_WristRight-PlaneYZAxisZ(stdv),WristRight_HandRight-PlaneZXAxisX(stdv),WristRight_HandRight-PlaneXYAxisY(stdv),WristRight_HandRight-KinectZAxis(stdv),Added
PP1,1,R,20120818T131600000,2102.59739262,-116.0559312743,115.0177577931,92.3408946003,176.3895441734,155.4094625998,62.3605349404,67.9707506831,146.1107323999,111.7915498109,149.1507964266,126.0500579997,108.7302623546,153.6563731892,-61.1557116932,1.6633285632,94.4726304876,-53.4220298529,2.1744456014,92.3408946003,-62.2960624001,13.367932954,114.7940583426,-172.1588176185,-116.0559312743,-105.6406027776,23.7314797836,115.0177577931,-46.7304586138,-143.9021171795,-147.5354610597,-115.0449109789,-61.0185961023,130.8643870738,-154.4516677826,-40.7675251063,89.1053395101,45.0642959493,-27.4539198202,152.1948734658,-109.0343977375,-100.5426657267,-45.7302689414,-164.9004606949,-107.0234251524,-48.5400871755,-66.1856617688,23.5064409403,1.6746253608,2.0004834273,1.0357222563,2.8188362266,3.0036326593,1.3983782746,1.7134502176,2.5367244183,2.9649744354,7.0162571954,4.5274055097,9.5613590064,24.9761897376,48.7116706834,2.9537628614,3.7653470699,35.6044896427,2.1039933543,1.0357222563,6.0695151006,2.1146503093,3.5716161788,1.3151953907,1.6746253608,2.1987080946,2.015449823,2.0004834273,2.7341787928,3.0107531468,4.6766853779,4.5783079475,2.7065883535,4.7757992275,1.5895773427,4.0116121146,6.7718699527,166.8720864974,22.946336587,5.6052297088,13.2370480177,30.9329388544,102.4602620803,8.4444812295,54.4368788985,75.8867498789,155.7343433048,
PP1,1,R,20120818T131700000,2099.7255252398,-116.3016050449,115.986636032,92.083384792,178.2369485914,155.185112586,61.0406386581,68.1658127328,148.8244935716,112.0525752871,143.8431556312,124.5010604132,102.2485799859,156.5697862455,-43.1831744847,2.2926976959,92.4292250404,-32.4305157303,3.3667266252,92.083384792,-64.0330435671,12.9431805372,115.5301063646,-170.7464988354,-116.3016050449,-108.2295493456,23.0804859702,115.986636032,-48.7767309414,-142.9716880619,-144.6913845608,-118.1107028439,-60.9495794656,131.0416655707,-154.217201457,-37.205342261,83.9896138223,161.7212258807,-41.0271343418,149.7453364158,-116.9210006616,-120.2549572195,-104.0996497766,-171.7809805998,-142.0818411542,-88.5101943873,39.9995737788,33.3594278543,0.4216027767,1.9726788428,0.6333972691,1.0887276347,2.0556581885,0.7281517953,1.9776737354,1.4481879824,1.9392198626,3.0927892027,4.0596797115,5.0029330762,5.8065933883,22.9688727973,0.8492573767,1.5661591106,6.1452678593,0.6543148516,0.6333972691,5.2439753526,1.8714799102,2.5280140741,NaN,0.4216027767,1.0621374239,0.5291900212,1.9726788428,1.9614013332,0.198554832,0.9503922578,0.4021648876,1.4328823224,2.7598762206,0.5592362582,1.4626831428,2.3053050139,58.2377141475,7.1948603631,2.4688805256,3.8860014878,2.0003587933,3.4313369072,1.1602982032,4.5793405164,2.8688430722,171.4869113576,
PP1,1,R,20120818T131800000,2102.3657777551,-115.9630888033,114.0730542036,92.3816899889,170.8769979891,155.3638729709,62.7645592122,68.1204908173,146.515380981,112.5506582049,145.2003308713,130.3236380595,100.07105108,156.9354823309,68.9893200401,-1.0215243697,84.6688777263,-55.456261973,1.77213243,92.3816899889,-73.5243606926,8.3762733622,116.3732525452,-173.050197385,-115.9630888033,-104.0740381672,20.1580313968,114.0730542036,-50.6034526284,-143.4107432825,-146.4134271701,-116.2330475618,-62.3905142988,131.553553919,-155.146097828,-38.3402041399,85.8358598271,162.0488639209,-25.3147439215,151.872737587,-105.275590115,-111.9449113064,-109.251879391,-166.8259519513,-130.8725531314,-88.6748220463,-91.2703240671,28.9729815018,0.5587024288,1.2450067372,0.6496707613,3.8796688742,1.6694778489,0.9858928888,1.1300094385,1.5353678354,2.2525011253,3.6086381235,3.8687887351,5.6721482405,13.3622624227,69.8262706861,1.8750049514,5.3316168519,16.5930926221,1.1020598799,0.6496707613,4.9586202097,2.65936349,1.6799852588,NaN,0.5587024288,1.6398141907,1.3108043264,1.2450067372,2.2167654617,1.2484119842,2.0008446765,1.2644049244,1.8268036688,3.707512817,1.4689062802,1.4288316095,2.4719891474,64.5488235738,14.7263646492,2.9530212863,9.1856230487,13.379139897,48.1620116814,30.5088766603,23.0137545723,30.6290606699,149.7488086404,
PP1,1,R,20120818T131900000,2104.1169681886,-115.6296296223,113.9724652689,92.4289045478,168.2488524272,156.6278137751,62.4295513761,68.7396528972,147.9940358746,112.0940569604,143.6783160595,127.5000929529,107.5848222396,150.4862207317,97.942801829,-1.2001111429,81.2618677848,-45.5521300644,2.4095938102,92.4289045478,-70.4009304071,9.458705011,115.0714364383,-173.482041576,-115.6296296223,-103.3947403394,19.3143967258,113.9724652689,-51.7505788231,-144.3377239302,-143.6861738878,-117.8013523544,-62.0438261531,132.6626909923,-153.970077084,-37.8322253134,84.6608856591,168.6663007752,-35.2522950377,153.2328855021,-109.721378603,-113.3154822846,-122.0285169935,-165.4185100421,-139.7382943035,-90.2772973763,39.9859466242,27.9974669542,NaN,0.8239183827,0.6219060379,1.8015952146,0.9466977688,0.6473030903,0.7441514433,1.0475338096,2.4876774823,3.5935441305,1.0181502626,2.8343547982,6.9367509156,5.8779484029,0.8576031694,1.6522381772,4.8748930001,0.3940852372,0.6219060379,1.9754033803,1.0051959286,0.8485279888,NaN,NaN,NaN,0.3500724085,0.8239183827,0.1771776423,0.7651860031,0.2374752605,NaN,1.9547624082,4.2636368499,1.2974999947,1.3288230077,2.1170216716,38.2098949943,2.5426862128,1.564317822,2.4536738088,4.7962733972,8.2238649665,1.1149062834,3.8540741092,4.0486110448,173.1494297838,
PP1,1,R,20120818T132000000,2105.2840071362,-116.3596987859,111.5384370292,92.4615367383,166.0509803237,152.6875061865,65.4283015082,67.4664032009,143.6625156795,106.5197688504,142.5242109632,124.1353573647,101.8356454257,154.7516759348,1.2441610284,-5.3256551927,81.0614838024,-106.531294774,-1.2225821025,92.4615367383,-77.2654914356,7.021917953,118.5346734137,-172.2104522962,-116.3596987859,-105.2955485817,17.4095627403,111.5384370292,-51.417777681,-137.0580490855,-149.3569385871,-118.5606611565,-47.264295388,121.2978049529,-151.4306577463,-22.6648051146,82.479481304,134.6973979222,-40.0187920496,153.0836203382,-112.2625157716,-119.4990599738,-105.0017021197,-163.8169650894,-139.6251593062,-89.041410857,-50.7753123283,23.2402815603,1.6811211164,2.2832417658,0.8897609158,17.0441895342,4.0793891665,3.1970184677,2.3141886481,3.294448596,5.8464890761,6.7895655261,4.4807297934,7.7344550606,16.4345902318,115.8960888029,6.7355887515,18.5605697388,47.4980378565,2.5404847779,0.8897609158,7.7144864046,4.0219437979,3.739421085,2.1342431609,1.6811211164,3.2557075944,1.4079010978,2.2832417658,3.5553062727,6.9238338907,5.2190824018,0.5776206182,9.7367112888,8.6141169861,4.1938064279,11.0388365499,3.9543126396,80.1714224915,9.9052405335,20.3424875007,5.5522340407,7.1980958734,22.9424882713,46.386278388,17.5145337937,29.7026745135,165.3683012272,
PP1,1,R,20120818T132100000,2107.4908046747,-119.0587911864,114.469511701,92.9249149146,126.6811938467,152.2390148572,64.0400525666,63.4452971213,135.4221323774,111.8918470516,146.2421601371,121.3539593223,106.0305665409,143.8264826613,106.6836138329,-19.8978561175,40.0852494746,-124.7409224861,-2.2528662424,92.9249149146,-70.4440400715,10.6980722745,117.8492716398,-170.2100631608,-119.0587911864,-107.2985996658,16.3981760588,114.469511701,-57.0949443265,-120.3244177309,-161.3934627635,-119.9820971978,-41.0098617328,111.0291348609,-152.1054858125,-21.2138920579,82.3204170922,124.4412489394,-51.3467202559,156.2979787251,-119.3179913335,-119.6702087238,-97.6866360989,-175.3766199036,-138.2534883678,-74.830153379,-76.1461720395,25.7984813519,1.5420363866,1.2640065871,0.7002934537,4.8351702165,1.9624502091,1.0242354779,2.2512412703,1.1792503678,8.7174569639,8.5362528696,2.3155785154,4.7446855255,18.0915347734,1.7752324227,3.6824077838,5.215189982,21.3810758808,1.4038063431,0.7002934537,6.4160194774,3.598537274,1.1641384928,NaN,1.5420363866,0.9439056269,1.4467607935,1.2640065871,3.5592754039,3.0773461299,1.0435826871,1.4490996166,6.5816476299,32.7879936436,7.5678050909,3.9850866657,4.9999978908,98.9077458372,7.7489671363,1.058581159,5.6321227943,6.9535124437,5.5914417268,3.735697692,30.1371477764,57.5774308525,151.5549398891,
PP1,1,N,20120818T132600000,2094.2422981382,-107.1349750444,101.4302467795,96.8884936422,174.2418825169,127.1067642235,76.9348807784,74.2874936103,128.7446639482,82.5632083593,157.2558940902,141.4971424793,72.8177683697,149.8160416537,-107.4324110619,-4.2248866249,101.6487570232,-115.0072422743,-3.5338325488,96.8884936422,-95.0938597485,-9.1835335597,149.6532548277,-176.4068953811,-107.1349750444,-101.6072782645,8.2322032245,101.4302467795,-54.3380434942,-134.1531126679,-145.2888576734,-113.1898517998,-22.1350640692,95.3994913526,-167.2963077774,-18.3143766609,72.682967619,108.1841411061,-0.3618781234,139.1189799548,-90.3616313518,-122.4775054578,-97.6904723348,-162.4872219271,-101.3916383778,-50.6918044013,-157.6059624716,29.1081946284,1.410488331,1.2314201468,1.3843803539,2.0578042529,4.6759731252,2.7503407729,3.4450429439,9.1767858335,9.4151412717,7.2404527434,2.9901370414,3.6443713844,22.044658215,18.9931107695,4.957058265,1.9518107904,23.016831899,3.4825237592,1.3843803539,3.5896811685,6.9981991562,3.7565402943,1.0207847259,1.410488331,4.2173825323,0.8758457354,1.2314201468,4.3498306172,16.9314807492,57.1461708952,2.1922161676,0.8346833472,3.4562584484,6.1966748218,9.3770501617,22.4781471139,81.2084168036,2.1933908307,2.3533668198,1.8008066435,3.2986004068,5.7113479717,65.9795382547,26.0493377884,123.5647672509,36.9188693485,
PP1,1,N,20120818T132700000,2098.8458291016,-106.1988432664,101.2213619379,97.0297346436,174.5813821723,128.0668654939,78.9008191827,73.7206932335,132.072636425,96.1628536428,155.7245343357,134.6428934059,75.5555863165,154.6624277528,-98.6752089937,-3.9710146288,100.9137597278,-119.157863022,-4.0592282093,97.0297346436,-86.6912794882,2.5991673533,147.666832307,-173.614768172,-106.1988432664,-110.6925569657,10.4815518004,101.2213619379,-48.0627761126,-137.8916161758,-149.8656003379,-114.3268928354,-39.8794285764,112.5298423269,-160.8894212081,-37.5829225059,75.3604864146,11.2467811032,-2.8437375802,145.2613110212,-91.7185221322,-126.8923005094,-97.6813201581,-155.1955640275,-110.9130801313,-47.6971562672,-130.2619909159,29.0375953568,1.3227059274,1.3982773549,2.8054565041,2.1446640075,5.3407725673,2.8071444709,3.005313798,6.2330218022,18.3780549123,12.58338134,8.4373025888,5.0710541681,22.5079258685,48.0104958714,3.5640750377,4.722346913,22.3720867572,2.9999702461,2.8054565041,10.5798753014,14.7126639414,4.8232583975,2.8051576838,1.3227059274,8.8825451595,3.2971313033,1.3982773549,8.5175216949,9.6957753232,30.4366318494,2.3926225697,22.5646766379,20.5307608258,8.2052121932,24.2503510182,38.972546139,155.1839115259,9.2716253697,8.1853023701,4.0890970184,6.9067309361,9.3276500461,76.8784573007,28.2156085877,107.4620046869,105.2953466168,
PP1,1,N,20120818T132800000,2107.2034665278,-110.3847737455,108.6130789136,92.8274685414,174.4526219819,147.1260862223,72.5471056932,69.6177134498,138.2353473316,107.0103342828,148.3113540525,128.4441373821,100.3564048189,144.2247365797,-4.8558120577,-4.2505915714,89.6757883054,-128.9530820088,-2.5006899244,92.8274685414,-60.7322717472,17.6435678214,120.2919276323,-173.8235385377,-110.3847737455,-106.3637255531,24.6429217525,108.6130789136,-36.3689580301,-139.3905022866,-149.6600428174,-116.6295961286,-49.2208901232,121.93284055,-151.9741297945,-36.5439673104,80.8194618943,158.6769256783,35.4772407046,161.849079998,-76.5789707984,-50.8207379416,87.2908846814,-131.6883629536,-76.4303063348,41.6412658687,-24.1805328104,30.1350872985,1.3318118138,1.9974168024,1.3482244478,4.2028108606,4.3569615848,2.0458421545,1.9864168073,2.143536818,3.9201703377,5.40917589,2.7312695705,8.823439681,22.4106972655,131.41668703,2.6471968565,6.0325801169,21.9322648761,1.3544434164,1.3482244478,6.6214508626,2.7158434297,5.9373878877,1.8234690698,1.3318118138,5.9852862288,2.9189870688,1.9974168024,2.9974201261,4.7297033354,2.0218078886,2.206725884,4.870691408,5.2030861111,1.4115218423,9.6342902395,16.2487893969,53.9128075342,19.2789322983,2.3300686184,8.4322931105,19.630150514,58.2110489954,98.2859545515,23.1554132214,99.1898839532,161.3927887773,
PP1,1,N,20120818T132900000,2112.3825728939,-112.2775562665,108.533527582,92.3592987193,161.3992187391,150.7491687884,70.2985004514,69.9184229627,137.5490848277,109.6597672456,149.0099314457,128.4422879175,85.6354648718,130.1452298194,118.0503300114,-8.147306109,74.6884273055,-129.7310360203,-2.1395184714,92.3592987193,-61.7047506239,15.3230157294,117.0533460995,-173.0015180992,-112.2775562665,-106.6833783756,22.3794843755,108.533527582,-39.1607187262,-134.4298686695,-151.9928026512,-118.4779628396,-50.5179893557,120.2739874255,-154.3613007485,-36.4785690192,80.8764738943,166.329897104,36.4334972902,161.9718803137,-76.5331288512,-50.2568032735,83.6840364321,-60.4804906101,-61.3268728635,80.8100922897,-44.7911905824,23.1589842497,0.2754478333,1.1306835747,0.6916863319,5.1224484735,1.383299228,1.5161286411,1.1907383564,1.7671589076,1.881553082,2.2006034074,1.3782628448,22.0301115006,38.2057468933,21.6463820928,2.1317272106,5.0040368026,14.2760138194,1.1051914396,0.6916863319,3.3812796978,1.5865118373,1.730806448,0.2060178631,0.2754478333,2.0222503441,1.2633305682,1.1306835747,1.3066409765,2.2231145567,1.2034240014,0.8523877303,1.7217458675,2.5921746287,0.7512130748,0.8220459633,2.0607632894,21.50096065,4.0796560561,1.6188628016,0.9162994062,4.0968238582,30.095557995,149.9070852442,24.8484984398,89.4503845603,142.5640275727,
