PP;Blok;Condition;timestamp;Valence_rc;Arousal_rc;Dominance;Stress;MentalEffort;MentalDemand;PhysicalDemand;TemporalDemand;Effort;Performance_rc;Frustration;NasaTLX;HR;RMSSD;SCL;Squality;Sneutral;Shappy;Ssad;Sangry;Ssurprised;Sscared;Sdisgusted;Svalence;SyHeadOrientation;SxHeadOrientation;SzHeadOrientation;SmouthOpen;SleftEyeClosed;SrightEyeClosed;SleftEyebrowLowered;SleftEyebrowRaised;SrightEyebrowLowered;SrightEyebrowRaised;SgazeDirectionForward;SgazeDirectionLeft;SgazeDirectionRight;SAu01_InnerBrowRaiser;SAu02_OuterBrowRaiser;SAu04_BrowLowerer;SAu05_UpperLidRaiser;SAu06_CheekRaiser;SAu07_LidTightener;SAu09_NoseWrinkler;SAu10_UpperLipRaiser;SAu12_LipCornerPuller;SAu14_Dimpler;SAu15_LipCornerDepressor;SAu17_ChinRaiser;SAu20_LipStretcher;SAu23_LipTightener;SAu24_LipPressor;SAu25_LipsPart;SAu26_JawDrop;SAu27_MouthStretch;SAu43_EyesClosed;SnMouseAct;SnLeftClicked;SnRightClicked;SnDoubleClicked;SnWheel;SnDragged;SnMouseDistance;SnKeyStrokes;SnChars;SnSpecialKeys;SnDirectionKeys;SnErrorKeys;SnShortcutKeys;SnSpaces;SnAppChange;SnTabfocusChange;CharactersRatio;ErrorKeyRatio;avgDepthavg;leftShoulderAngleavg;rightShoulderAngleavg;leanAngleavg;HipCenter_SpineSpine_ShoulderCenteravg;Spine_ShoulderCenterShoulderCenter_Headavg;Spine_ShoulderCenterShoulderCenter_ShoulderLeftavg;Spine_ShoulderCenterShoulderCenter_ShoulderRightavg;ShoulderCenter_ShoulderLeftShoulderLeft_ElbowLeftavg;ShoulderLeft_ElbowLeftElbowLeft_WristLeftavg;ElbowLeft_WristLeftWristLeft_HandLeftavg;ShoulderCenter_ShoulderRightShoulderRight_ElbowRightavg;ShoulderRight_ElbowRightElbowRight_WristRightavg;ElbowRight_WristRightWristRight_HandRightavg;HipCenter_SpinePlaneZXAxisXavg;HipCenter_SpinePlaneXYAxisYavg;HipCenter_SpinePlaneYZAxisZavg;Spine_ShoulderCenterPlaneZXAxisXavg;Spine_ShoulderCenterPlaneXYAxisYavg;Spine_ShoulderCenterPlaneYZAxisZavg;ShoulderCenter_HeadPlaneZXAxisXavg;ShoulderCenter_HeadPlaneXYAxisYavg;ShoulderCenter_HeadPlaneYZAxisZavg;ShoulderCenter_ShoulderLeftPlaneZXAxisXavg;ShoulderCenter_ShoulderLeftPlaneXYAxisYavg;ShoulderCenter_ShoulderLeftPlaneYZAxisZavg;ShoulderCenter_ShoulderRightPlaneZXAxisXavg;ShoulderCenter_ShoulderRightPlaneXYAxisYavg;ShoulderCenter_ShoulderRightPlaneYZAxisZavg;ShoulderLeft_ElbowLeftPlaneZXAxisXavg;ShoulderLeft_ElbowLeftPlaneXYAxisYavg;ShoulderLeft_ElbowLeftPlaneYZAxisZavg;ElbowLeft_WristLeftPlaneZXAxisXavg;ElbowLeft_WristLeftPlaneXYAxisYavg;ElbowLeft_WristLeftPlaneYZAxisZavg;WristLeft_HandLeftPlaneZXAxisXavg;WristLeft_HandLeftPlaneXYAxisYavg;WristLeft_HandLeftPlaneYZAxisZavg;ShoulderRight_ElbowRightPlaneZXAxisXavg;ShoulderRight_ElbowRightPlaneXYAxisYavg;ShoulderRight_ElbowRightPlaneYZAxisZavg;ElbowRight_WristRightPlaneZXAxisXavg;ElbowRight_WristRightPlaneXYAxisYavg;ElbowRight_WristRightPlaneYZAxisZavg;WristRight_HandRightPlaneZXAxisXavg;WristRight_HandRightPlaneXYAxisYavg;WristRight_HandRightKinectZAxisavg;avgDepthstdv;leftShoulderAnglestdv;rightShoulderAnglestdv;leanAnglestdv;HipCenter_SpineSpine_ShoulderCenterstdv;Spine_ShoulderCenterShoulderCenter_Headstdv;Spine_ShoulderCenterShoulderCenter_ShoulderLeftstdv;Spine_ShoulderCenterShoulderCenter_ShoulderRightstdv;ShoulderCenter_ShoulderLeftShoulderLeft_ElbowLeftstdv;ShoulderLeft_ElbowLeftElbowLeft_WristLeftstdv;ElbowLeft_WristLeftWristLeft_HandLeftstdv;ShoulderCenter_ShoulderRightShoulderRight_ElbowRightstdv;ShoulderRight_ElbowRightElbowRight_WristRightstdv;ElbowRight_WristRightWristRight_HandRightstdv;HipCenter_SpinePlaneZXAxisXstdv;HipCenter_SpinePlaneXYAxisYstdv;HipCenter_SpinePlaneYZAxisZstdv;Spine_ShoulderCenterPlaneZXAxisXstdv;Spine_ShoulderCenterPlaneXYAxisYstdv;Spine_ShoulderCenterPlaneYZAxisZstdv;ShoulderCenter_HeadPlaneZXAxisXstdv;ShoulderCenter_HeadPlaneXYAxisYstdv;ShoulderCenter_HeadPlaneYZAxisZstdv;ShoulderCenter_ShoulderLeftPlaneZXAxisXstdv;ShoulderCenter_ShoulderLeftPlaneXYAxisYstdv;ShoulderCenter_ShoulderLeftPlaneYZAxisZstdv;ShoulderCenter_ShoulderRightPlaneZXAxisXstdv;ShoulderCenter_ShoulderRightPlaneXYAxisYstdv;ShoulderCenter_ShoulderRightPlaneYZAxisZstdv;ShoulderLeft_ElbowLeftPlaneZXAxisXstdv;ShoulderLeft_ElbowLeftPlaneXYAxisYstdv;ShoulderLeft_ElbowLeftPlaneYZAxisZstdv;ElbowLeft_WristLeftPlaneZXAxisXstdv;ElbowLeft_WristLeftPlaneXYAxisYstdv;ElbowLeft_WristLeftPlaneYZAxisZstdv;WristLeft_HandLeftPlaneZXAxisXstdv;WristLeft_HandLeftPlaneXYAxisYstdv;WristLeft_HandLeftPlaneYZAxisZstdv;ShoulderRight_ElbowRightPlaneZXAxisXstdv;ShoulderRight_ElbowRightPlaneXYAxisYstdv;ShoulderRight_ElbowRightPlaneYZAxisZstdv;ElbowRight_WristRightPlaneZXAxisXstdv;ElbowRight_WristRightPlaneXYAxisYstdv;ElbowRight_WristRightPlaneYZAxisZstdv;WristRight_HandRightPlaneZXAxisXstdv;WristRight_HandRightPlaneXYAxisYstdv;WristRight_HandRightKinectZAxisstdv
PP1;1;R;20120918T131600000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;80,239727;0,944941;0,968862;0,023946;0,0013;0,016315;0,002024;0,001087;0,000286;0,007396;-6,954147;-5,818151;-0,584952;0;0;0;0,05;0,025;0,020833;0;0,9625;0;0,016667;0;0;0,029167;0,141667;0;0;0,533333;0,558333;0;0,0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2102,597393;-116,055931;115,017758;92,340895;176,389544;155,409463;62,360535;67,970751;146,110732;111,79155;149,150796;126,050058;108,730262;153,656373;-61,155712;1,663329;94,47263;-53,42203;2,174446;92,340895;-62,296062;13,367933;114,794058;-172,158818;-116,055931;-105,640603;23,73148;115,017758;-46,730459;-143,902117;-147,535461;-115,044911;-61,018596;130,864387;-154,451668;-40,767525;89,10534;45,064296;-27,45392;152,194873;-109,034398;-100,542666;-45,730269;-164,900461;-107,023425;-48,540087;-66,185662;23,506441;1,674625;2,000483;1,035722;2,818836;3,003633;1,398378;1,71345;2,536724;2,964974;7,016257;4,527406;9,561359;24,97619;48,711671;2,953763;3,765347;35,60449;2,103993;1,035722;6,069515;2,11465;3,571616;1,315195;1,674625;2,198708;2,01545;2,000483;2,734179;3,010753;4,676685;4,578308;2,706588;4,775799;1,589577;4,011612;6,77187;166,872086;22,946337;5,60523;13,237048;30,932939;102,460262;8,444481;54,436879;75,88675;155,734343
PP1;1;R;20120918T131700000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;61;0,06142;77,365127;0,930303;0,88457;0,076952;0,001144;0,017392;0,002032;0,000651;0,000344;0,05877;-10,564172;-6,567912;-3,906502;0;0,020921;0;0,004184;0,108787;0;0;0,945607;0;0;0;0;0;0,096234;0;0;0,560669;0,07113;0;0,029289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2099,725525;-116,301605;115,986636;92,083385;178,236949;155,185113;61,040639;68,165813;148,824494;112,052575;143,843156;124,50106;102,24858;156,569786;-43,183174;2,292698;92,429225;-32,430516;3,366727;92,083385;-64,033044;12,943181;115,530106;-170,746499;-116,301605;-108,229549;23,080486;115,986636;-48,776731;-142,971688;-144,691385;-118,110703;-60,949579;131,041666;-154,217201;-37,205342;83,989614;161,721226;-41,027134;149,745336;-116,921001;-120,254957;-104,09965;-171,780981;-142,081841;-88,510194;39,999574;33,359428;0,421603;1,972679;0,633397;1,088728;2,055658;0,728152;1,977674;1,448188;1,93922;3,092789;4,05968;5,002933;5,806593;22,968873;0,849257;1,566159;6,145268;0,654315;0,633397;5,243975;1,87148;2,528014;NaN;0,421603;1,062137;0,52919;1,972679;1,961401;0,198555;0,950392;0,402165;1,432882;2,759876;0,559236;1,462683;2,305305;58,237714;7,19486;2,468881;3,886001;2,000359;3,431337;1,160298;4,579341;2,868843;171,486911
PP1;1;R;20120918T131800000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;64;0,049663;77,359559;0,933104;0,931965;0,031468;0,000371;0,023774;0,001722;0,001756;0,000597;0,007164;-10,721106;-7,055848;-2,452367;0;0;0;0,025;0,025;0,004167;0;0,966667;0;0,0125;0;0;0;0,170833;0;0;0,604167;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2102,365778;-115,963089;114,073054;92,38169;170,876998;155,363873;62,764559;68,120491;146,515381;112,550658;145,200331;130,323638;100,071051;156,935482;68,98932;-1,021524;84,668878;-55,456262;1,772132;92,38169;-73,524361;8,376273;116,373253;-173,050197;-115,963089;-104,074038;20,158031;114,073054;-50,603453;-143,410743;-146,413427;-116,233048;-62,390514;131,553554;-155,146098;-38,340204;85,83586;162,048864;-25,314744;151,872738;-105,27559;-111,944911;-109,251879;-166,825952;-130,872553;-88,674822;-91,270324;28,972982;0,558702;1,245007;0,649671;3,879669;1,669478;0,985893;1,130009;1,535368;2,252501;3,608638;3,868789;5,672148;13,362262;69,826271;1,875005;5,331617;16,593093;1,10206;0,649671;4,95862;2,659363;1,679985;NaN;0,558702;1,639814;1,310804;1,245007;2,216765;1,248412;2,000845;1,264405;1,826804;3,707513;1,468906;1,428832;2,471989;64,548824;14,726365;2,953021;9,185623;13,37914;48,162012;30,508877;23,013755;30,629061;149,748809
PP1;1;R;20120918T131900000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;60;0,052487;76,728772;0,904466;0,806947;0,105516;0,006459;0,009809;0,001563;0,000441;0,000311;0,089651;-10,782755;-5,616126;-4,669924;0;0,118644;0,04661;0,038136;0,033898;0;0,025424;0,970339;0,004237;0;0,118644;0;0;0,072034;0;0;0,372881;0,012712;0,004237;0,004237;0;0,076271;0;0,025424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2104,116968;-115,62963;113,972465;92,428905;168,248852;156,627814;62,429551;68,739653;147,994036;112,094057;143,678316;127,500093;107,584822;150,486221;97,942802;-1,200111;81,261868;-45,55213;2,409594;92,428905;-70,40093;9,458705;115,071436;-173,482042;-115,62963;-103,39474;19,314397;113,972465;-51,750579;-144,337724;-143,686174;-117,801352;-62,043826;132,662691;-153,970077;-37,832225;84,660886;168,666301;-35,252295;153,232886;-109,721379;-113,315482;-122,028517;-165,41851;-139,738294;-90,277297;39,985947;27,997467;NaN;0,823918;0,621906;1,801595;0,946698;0,647303;0,744151;1,047534;2,487677;3,593544;1,01815;2,834355;6,936751;5,877948;0,857603;1,652238;4,874893;0,394085;0,621906;1,975403;1,005196;0,848528;NaN;NaN;NaN;0,350072;0,823918;0,177178;0,765186;0,237475;NaN;1,954762;4,263637;1,2975;1,328823;2,117022;38,209895;2,542686;1,564318;2,453674;4,796273;8,223865;1,114906;3,854074;4,048611;173,14943
PP1;1;R;20120918T132000000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;61;0,051189;76,512877;0,929025;0,951412;0,028358;0,001095;0,01813;0,001309;0,003466;0,000286;0,008581;-3,880091;-4,62194;-5,893645;0;0,033333;0,0125;0,179167;0,125;0,004167;0;0,958333;0;0,029167;0;0;0;0,116667;0;0;0,729167;0,770833;0;0,133333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2105,284007;-116,359699;111,538437;92,461537;166,05098;152,687506;65,428302;67,466403;143,662516;106,519769;142,524211;124,135357;101,835645;154,751676;1,244161;-5,325655;81,061484;-106,531295;-1,222582;92,461537;-77,265491;7,021918;118,534673;-172,210452;-116,359699;-105,295549;17,409563;111,538437;-51,417778;-137,058049;-149,356939;-118,560661;-47,264295;121,297805;-151,430658;-22,664805;82,479481;134,697398;-40,018792;153,08362;-112,262516;-119,49906;-105,001702;-163,816965;-139,625159;-89,041411;-50,775312;23,240282;1,681121;2,283242;0,889761;17,04419;4,079389;3,197018;2,314189;3,294449;5,846489;6,789566;4,48073;7,734455;16,43459;115,896089;6,735589;18,56057;47,498038;2,540485;0,889761;7,714486;4,021944;3,739421;2,134243;1,681121;3,255708;1,407901;2,283242;3,555306;6,923834;5,219082;0,577621;9,736711;8,614117;4,193806;11,038837;3,954313;80,171422;9,905241;20,342488;5,552234;7,198096;22,942488;46,386278;17,514534;29,702675;165,368301
PP1;1;R;20120918T132100000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;65;0,037098;76,873877;0,90979;0,860669;0,091528;0,001091;0,015505;0,001192;0,001034;0,000341;0,075597;-10,667572;-5,212137;-7,195323;0;0,2;0,016667;0;0,016667;0;0;0,9125;0,020833;0,008333;0;0;0;0,075;0,0375;0;0,916667;0,2875;0;0,008333;0;0;0,004167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2107,490805;-119,058791;114,469512;92,924915;126,681194;152,239015;64,040053;63,445297;135,422132;111,891847;146,24216;121,353959;106,030567;143,826483;106,683614;-19,897856;40,085249;-124,740922;-2,252866;92,924915;-70,44404;10,698072;117,849272;-170,210063;-119,058791;-107,2986;16,398176;114,469512;-57,094944;-120,324418;-161,393463;-119,982097;-41,009862;111,029135;-152,105486;-21,213892;82,320417;124,441249;-51,34672;156,297979;-119,317991;-119,670209;-97,686636;-175,37662;-138,253488;-74,830153;-76,146172;25,798481;1,542036;1,264007;0,700293;4,83517;1,96245;1,024235;2,251241;1,17925;8,717457;8,536253;2,315579;4,744686;18,091535;1,775232;3,682408;5,21519;21,381076;1,403806;0,700293;6,416019;3,598537;1,164138;NaN;1,542036;0,943906;1,446761;1,264007;3,559275;3,077346;1,043583;1,4491;6,581648;32,787994;7,567805;3,985087;4,999998;98,907746;7,748967;1,058581;5,632123;6,953512;5,591442;3,735698;30,137148;57,577431;151,55494
PP1;1;N;20120918T132600000;6;4;6;4,1;5,1;0,7;0,7;5;5;4,9;5,2;50,7;69;0,044294;68,21287;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2094,242298;-107,134975;101,430247;96,888494;174,241883;127,106764;76,934881;74,287494;128,744664;82,563208;157,255894;141,497142;72,817768;149,816042;-107,432411;-4,224887;101,648757;-115,007242;-3,533833;96,888494;-95,09386;-9,183534;149,653255;-176,406895;-107,134975;-101,607278;8,232203;101,430247;-54,338043;-134,153113;-145,288858;-113,189852;-22,135064;95,399491;-167,296308;-18,314377;72,682968;108,184141;-0,361878;139,11898;-90,361631;-122,477505;-97,690472;-162,487222;-101,391638;-50,691804;-157,605962;29,108195;1,410488;1,23142;1,38438;2,057804;4,675973;2,750341;3,445043;9,176786;9,415141;7,240453;2,990137;3,644371;22,044658;18,993111;4,957058;1,951811;23,016832;3,482524;1,38438;3,589681;6,998199;3,75654;1,020785;1,410488;4,217383;0,875846;1,23142;4,349831;16,931481;57,146171;2,192216;0,834683;3,456258;6,196675;9,37705;22,478147;81,208417;2,193391;2,353367;1,800807;3,2986;5,711348;65,979538;26,049338;123,564767;36,918869
PP1;1;N;20120918T132700000;6;4;6;4,1;5,1;0,7;0,7;5;5;4,9;5,2;50,7;74;0,037915;67,145289;0,904467;0,889371;0,057581;0,029117;0,016379;0,001627;0,000253;0,000585;0,017913;-5,511874;-1,829197;2,154035;0;0,131579;0,175439;0,807018;0;0,473684;0;0,833333;0,026316;0,035088;0;0;0,850877;0,008772;0;0,008772;0,350877;0,096491;0,04386;0,149123;0,245614;0,254386;0;0;0;0;0;0;0,035088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2098,845829;-106,198843;101,221362;97,029735;174,581382;128,066865;78,900819;73,720693;132,072636;96,162854;155,724534;134,642893;75,555586;154,662428;-98,675209;-3,971015;100,91376;-119,157863;-4,059228;97,029735;-86,691279;2,599167;147,666832;-173,614768;-106,198843;-110,692557;10,481552;101,221362;-48,062776;-137,891616;-149,8656;-114,326893;-39,879429;112,529842;-160,889421;-37,582923;75,360486;11,246781;-2,843738;145,261311;-91,718522;-126,892301;-97,68132;-155,195564;-110,91308;-47,697156;-130,261991;29,037595;1,322706;1,398277;2,805457;2,144664;5,340773;2,807144;3,005314;6,233022;18,378055;12,583381;8,437303;5,071054;22,507926;48,010496;3,564075;4,722347;22,372087;2,99997;2,805457;10,579875;14,712664;4,823258;2,805158;1,322706;8,882545;3,297131;1,398277;8,517522;9,695775;30,436632;2,392623;22,564677;20,530761;8,205212;24,250351;38,972546;155,183912;9,271625;8,185302;4,089097;6,906731;9,32765;76,878457;28,215609;107,462005;105,295347
PP1;1;N;20120918T132800000;6;4;6;4,1;5,1;0,7;0,7;5;5;4,9;5,2;50,7;65;0,066091;67,248375;0,92091;0,879852;0,062577;0,009506;0,009014;0,001917;0,000672;0,000198;0,045847;-5,526549;-3,555977;4,088908;0;0,075314;0,075314;0,824268;0,012552;0,271967;0;0,916318;0,012552;0,025105;0;0;0,125523;0,016736;0,012552;0;0,029289;0,096234;0,179916;0,058577;0;0;0;0,004184;0;0;0;0;0,033473;8;5;0;2;1;0;5691,235163;0;0;0;0;0;0;0;5;0;0;0;2107,203467;-110,384774;108,613079;92,827469;174,452622;147,126086;72,547106;69,617713;138,235347;107,010334;148,311354;128,444137;100,356405;144,224737;-4,855812;-4,250592;89,675788;-128,953082;-2,50069;92,827469;-60,732272;17,643568;120,291928;-173,823539;-110,384774;-106,363726;24,642922;108,613079;-36,368958;-139,390502;-149,660043;-116,629596;-49,22089;121,932841;-151,97413;-36,543967;80,819462;158,676926;35,477241;161,84908;-76,578971;-50,820738;87,290885;-131,688363;-76,430306;41,641266;-24,180533;30,135087;1,331812;1,997417;1,348224;4,202811;4,356962;2,045842;1,986417;2,143537;3,92017;5,409176;2,73127;8,82344;22,410697;131,416687;2,647197;6,03258;21,932265;1,354443;1,348224;6,621451;2,715843;5,937388;1,823469;1,331812;5,985286;2,918987;1,997417;2,99742;4,729703;2,021808;2,206726;4,870691;5,203086;1,411522;9,63429;16,248789;53,912808;19,278932;2,330069;8,432293;19,630151;58,211049;98,285955;23,155413;99,189884;161,392789
PP1;1;N;20120918T132900000;6;4;6;4,1;5,1;0,7;0,7;5;5;4,9;5,2;50,7;67;0,045529;65,998403;0,923512;0,91307;0,033472;0,010112;0,006385;0,002737;0,000648;0,001037;0,019678;-5,596042;-1,824819;1,346101;0;0,2625;0,0625;0,845833;0;0,529167;0,008333;0,941667;0,008333;0,020833;0;0,354167;0,6875;0,004167;0,004167;0;0,045833;0,008333;0;0,004167;0,008333;0;0;0;0;0;0;0;0,0125;12;7;0;1;4;0;7726,999223;0;0;0;0;0;0;0;8;3;0;0;2112,382573;-112,277556;108,533528;92,359299;161,399219;150,749169;70,2985;69,918423;137,549085;109,659767;149,009931;128,442288;85,635465;130,14523;118,05033;-8,147306;74,688427;-129,731036;-2,139518;92,359299;-61,704751;15,323016;117,053346;-173,001518;-112,277556;-106,683378;22,379484;108,533528;-39,160719;-134,429869;-151,992803;-118,477963;-50,517989;120,273987;-154,361301;-36,478569;80,876474;166,329897;36,433497;161,97188;-76,533129;-50,256803;83,684036;-60,480491;-61,326873;80,810092;-44,791191;23,158984;0,275448;1,130684;0,691686;5,122448;1,383299;1,516129;1,190738;1,767159;1,881553;2,200603;1,378263;22,030112;38,205747;21,646382;2,131727;5,004037;14,276014;1,105191;0,691686;3,38128;1,586512;1,730806;0,206018;0,275448;2,02225;1,263331;1,130684;1,306641;2,223115;1,203424;0,852388;1,721746;2,592175;0,751213;0,822046;2,060763;21,500961;4,079656;1,618863;0,916299;4,096824;30,095558;149,907085;24,848498;89,450385;142,564028
